age,monthly_spend,tenure_months,income,credit_score,target
25,50.5,12,40000,650,0
30,100.0,24,55000,700,1
28,75.3,18,48000,680,0
35,150.0,36,70000,720,1
22,30.0,6,35000,620,0
40,200.0,48,85000,750,1
27,60.0,15,42000,660,0
33,120.0,30,62000,710,1
29,85.0,20,50000,690,0
38,180.0,42,80000,740,1
26,55.0,14,41000,655,0
32,110.0,28,58000,705,1
24,40.0,10,38000,640,0
36,160.0,38,75000,730,1
31,95.0,22,53000,695,0
42,220.0,52,90000,760,1
23,35.0,8,36000,630,0
34,130.0,32,65000,715,1
28,70.0,16,45000,670,0
39,190.0,45,82000,745,1
